%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	tag
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1720.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1721.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1722.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1723.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1724.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1716.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1725.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1726.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1727.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1717.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1728.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1729.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1730.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1731.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1732.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1733.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1734.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1735.jpg			1
%													
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1718.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1736.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1737.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1738.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1739.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1740.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1741.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1742.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1743.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1744.jpg			1
%													
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1719.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1745.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1746.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1747.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1748.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1749.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1750.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1751.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1752.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1753.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1720.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1754.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1721.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1755.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1722.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1756.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1757.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1723.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1758.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1759.jpg			1
%													
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1724.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1725.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1726.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1727.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1760.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1728.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1729.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1730.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1731.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1732.jpg			2
%													
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1733.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1734.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1735.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1736.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1737.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1738.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1739.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1740.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1741.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1742.jpg			2
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1743.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1761.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1744.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1745.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1762.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1746.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1747.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1748.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1749.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1750.jpg			2
%													
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1751.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1752.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1753.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1754.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1755.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1756.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1757.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1758.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1759.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1760.jpg			2
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1761.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1763.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1762.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1763.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1764.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1765.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1766.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1764.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1767.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1765.jpg			1
