%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	trialNum	tags
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1578.jpg			150	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1579.jpg			151	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1580.jpg			152	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1581.jpg			153	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1608.jpg			154	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1582.jpg			155	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1609.jpg			156	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1583.jpg			157	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1610.jpg			158	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1584.jpg			159	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1585.jpg			160	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1586.jpg			161	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1587.jpg			162	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1611.jpg			163	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1588.jpg			164	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1589.jpg			165	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1590.jpg			166	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1591.jpg			167	3
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1612.jpg			168	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1592.jpg			169	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1593.jpg			170	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1594.jpg			171	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1613.jpg			172	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1595.jpg			173	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1596.jpg			174	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1597.jpg			175	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1598.jpg			178	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1599.jpg			179	3
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1600.jpg			180	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1601.jpg			181	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1614.jpg			182	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1602.jpg			183	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1603.jpg			184	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1604.jpg			185	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1615.jpg			186	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1605.jpg			187	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1606.jpg			188	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1607.jpg			189	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1608.jpg			190	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1609.jpg			191	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1610.jpg			192	3
