%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0166.jpg			112	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0167.jpg			113	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0168.jpg			105	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0192.jpg			106	2
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0169.jpg			107	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0170.jpg			108	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0193.jpg			109	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0171.jpg			110	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0172.jpg			111	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0173.jpg			112	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0174.jpg			113	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0194.jpg			114	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0175.jpg			115	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0176.jpg			116	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0195.jpg			117	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0177.jpg			118	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0178.jpg			119	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0179.jpg			120	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0180.jpg			121	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0181.jpg			122	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0182.jpg			123	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0183.jpg			124	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0184.jpg			125	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0185.jpg			126	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0186.jpg			127	3
